7,7,7,0
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,,,,,,gal:tree_default_wood,
## 1
_____,_____,_____,C0S00,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,W0L20,_____,_____,_____,W0L20,_____,
W0L00,_____,W0L00,W0L20,W0L00,_____,W0L00,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
## 2
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,C0m00,W0m00,W0dS0,W0m00,C0m00,_____,
_____,C0m00,W0m00,_____,W0m00,C0m00,_____,
W0L23,C0m00,W0m00,W0S20,W0m00,C0m00,W0L21,
_____,W0L00,T0m00,T0m00,T0m00,W0L00,_____,
_____,_____,_____,W0L00,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
## 3
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
W0L00,T0m00,W0m00,W0m00,W0m00,T0m00,W0L00,
_____,_____,W0L00,T0m00,W0L00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
## 4
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
_____,Xp0W0,_____,_____,_____,Xp0W0,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
W0L23,T0m00,W0m00,W0m00,W0m00,T0m00,W0L21,
_____,W0L00,T0m00,_____,T0m00,W0L00,_____,
_____,_____,_____,W0L00,_____,_____,_____,
## 5
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,W0m00,_____,Bb0E0,Bt0E0,W0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
_____,W0m00,_____,_____,_____,W0m00,_____,
W0L00,T0m00,W0m00,W0m00,W0m00,T0m00,W0L00,
_____,_____,W0L00,T0m00,W0L00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
## 6
_____,C0m00,C0m00,C0m00,C0m00,C0m00,_____,
_____,C0m00,W0m00,W0m00,W0m00,C0m00,_____,
_____,C0m00,W0m00,Xp0N0,W0m00,C0m00,_____,
W0L23,C0m00,W0m00,W0m00,W0m00,C0m00,W0L21,
_____,W0L00,T0m00,T0m00,T0m00,W0L00,_____,
_____,_____,_____,W0L00,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
## 7
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
_____,W0L22,_____,_____,_____,W0L22,_____,
W0L00,_____,W0L00,W0L22,W0L00,_____,W0L00,
_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,
